# Trayectoria 2R - Referencias angulares
# Generado: 2025-11-01 23:38:14
# theta1: ángulo eslabón 1 desde horizontal [rad]
# theta2: ángulo relativo eslabón 2 [rad]
time_s,theta1_rad,theta2_rad
12.700000,-0.051576,2.363944
12.716667,-0.057845,2.362618
12.733333,-0.064029,2.361172
12.750000,-0.070126,2.359610
12.766667,-0.076133,2.357936
12.783333,-0.082051,2.356152
12.800000,-0.087877,2.354264
12.816667,-0.093611,2.352274
12.833333,-0.099253,2.350186
12.850000,-0.104803,2.348003
12.866667,-0.110260,2.345728
12.883333,-0.115625,2.343367
12.900000,-0.120900,2.340922
12.916667,-0.126086,2.338398
12.933333,-0.131184,2.335798
12.950000,-0.136196,2.333128
12.966667,-0.141126,2.330390
12.983333,-0.145976,2.327591
13.000000,-0.150751,2.324736
13.016667,-0.155455,2.321829
13.033333,-0.160094,2.318879
13.050000,-0.164675,2.315891
13.066667,-0.169204,2.312873
13.083333,-0.173693,2.309836
13.100000,-0.178151,2.306789
13.116667,-0.182591,2.303744
13.133333,-0.187030,2.300719
13.150000,-0.191486,2.297730
13.166667,-0.195981,2.294800
13.183333,-0.200543,2.291960
13.200000,-0.205203,2.289244
13.216667,-0.209999,2.286699
13.233333,-0.214973,2.284385
13.250000,-0.220166,2.282373
13.266667,-0.225620,2.280750
13.283333,-0.231357,2.279606
13.300000,-0.237374,2.279023
13.316667,-0.243635,2.279050
13.333333,-0.250074,2.279682
13.350000,-0.256620,2.280870
13.366667,-0.263214,2.282530
13.383333,-0.269815,2.284570
13.400000,-0.276404,2.286907
13.416667,-0.282971,2.289468
13.433333,-0.289518,2.292196
13.450000,-0.296048,2.295045
13.466667,-0.302568,2.297980
13.483333,-0.309085,2.300973
13.500000,-0.315604,2.304001
13.516667,-0.322131,2.307046
13.533333,-0.328672,2.310093
13.550000,-0.335230,2.313129
13.566667,-0.341810,2.316145
13.583333,-0.348415,2.319130
13.600000,-0.355046,2.322077
13.616667,-0.361707,2.324979
13.633333,-0.368398,2.327830
13.650000,-0.375121,2.330624
13.666667,-0.381876,2.333356
13.683333,-0.388664,2.336021
13.700000,-0.395485,2.338614
